"group","partno","matched.partno","cue","target","expnorm","judgment","fsg","bsg","swow"
"exp",608,386,"assist","assistant",60,40,NA,NA,2.52707581227437
"exp",608,386,"assist","motorist",80,60,NA,NA,NA
"exp",608,386,"bashful","dwarf",80,40,NA,NA,8.45070422535211
"exp",608,386,"bashful","shy",100,100,73,7.6,29.9295774647887
"exp",608,386,"before","after",100,80,85.9,57.1,23.1884057971014
"exp",608,386,"before","beginning",60,80,NA,NA,1.44927536231884
"exp",608,386,"before","photo",20,40,NA,NA,NA
"exp",608,386,"before","previous",80,40,1.3,NA,3.6231884057971
"exp",608,386,"before","start",40,80,NA,NA,0.36231884057971
"exp",608,386,"beginning","middle",60,60,NA,NA,2.87769784172662
"exp",608,386,"body","ache",100,100,NA,NA,NA
"exp",608,386,"body","cast",20,40,NA,NA,NA
"exp",608,386,"body","leg",60,60,1.4,2.4,0.338983050847458
"exp",608,386,"break","coffee",60,80,NA,NA,3.06122448979592
"exp",608,386,"break","union",40,60,NA,NA,NA
"exp",608,386,"car","drive",60,60,12.2,48,6.84931506849315
"exp",608,386,"car","mechanic",20,40,NA,NA,0.684931506849315
"exp",608,386,"car","port",40,40,NA,NA,0.684931506849315
"exp",608,386,"car","vehicle",80,40,NA,NA,5.13698630136986
"exp",608,386,"casual","friday",100,80,NA,NA,NA
"exp",608,386,"casual","relaxed",80,60,6.8,0,6.06060606060606
"exp",608,386,"challenge","class",20,60,NA,NA,NA
"exp",608,386,"challenge","hard",80,60,8.2,0,7.92452830188679
"exp",608,386,"challenge","overcome",40,20,NA,NA,0.377358490566038
"exp",608,386,"chowder","clam",100,100,75.5,4.2,19.8380566801619
"exp",608,386,"chowder","gross",60,40,NA,NA,0.404858299595142
"exp",608,386,"chowder","nasty",40,40,NA,NA,NA
"exp",608,386,"cinema","movie",100,100,79.3,2.5,18.3745583038869
"exp",608,386,"cinema","ticket",20,80,NA,NA,1.06007067137809
"exp",608,386,"closed","caption",40,80,NA,NA,NA
"exp",608,386,"closed","captions",20,80,NA,NA,NA
"exp",608,386,"closed","door",100,80,7.2,0,14.4876325088339
"exp",608,386,"closed","open",60,80,67.8,0,13.7809187279152
"exp",608,386,"cloth","needle",80,100,NA,NA,0.350877192982456
"exp",608,386,"cloth","silk",20,20,3,4.7,0.350877192982456
"exp",608,386,"cloth","thread",80,100,NA,NA,0.350877192982456
"exp",608,386,"common","cold",100,80,4.1,0,0.68259385665529
"exp",608,386,"common","plentiful",40,40,NA,NA,NA
"exp",608,386,"common","type",20,20,NA,NA,NA
"exp",608,386,"computer","mouse",80,80,NA,NA,3.48432055749129
"exp",608,386,"computer","problems",40,20,NA,NA,NA
"exp",608,386,"dancer","jazz",80,60,2,0,0.684931506849315
"exp",608,386,"difficult","easy",40,20,28.3,2.1,6.73758865248227
"exp",608,386,"difficult","hard",100,100,59.4,0,30.1418439716312
"exp",608,386,"difficult","task",20,60,NA,NA,2.12765957446809
"exp",608,386,"melody","chords",40,40,NA,NA,NA
"exp",608,386,"melody","notes",60,60,NA,NA,2.3972602739726
"exp",608,386,"organize","desk",60,80,NA,NA,1.40845070422535
"exp",608,386,"organize","order",20,60,2.8,2.9,4.22535211267606
"exp",608,386,"pupil","eye",100,100,16.7,1.6,20.8904109589041
"matched",708,386,"assist","assistant",60,40,NA,NA,2.52707581227437
"matched",708,386,"assist","motorist",80,60,NA,NA,NA
